а	but	
аазаз	azaz	
аален	aalen	
аангич	coween	
аарон	aaron	
ааронов	aaronov	
аахен	aachen	
абадан	abadan	
абажур	lampshade	
абаз	abazin	
абазин	abazin	
абазия	abasia	
абаимов	abaimov	
абайкан	abaykan	
абайя	abaya	
абак	abacus	
абака	abaqa	
абактериальный	abacterial	
абалон	abalone	
абандон	abandon	
абарогноз	abarognosis	
абарогнозия	abarognosis	
абасири	abashiri	
абатмент	abutment	
абацист	abacist	
абаша	abasha	
абашидзе	abashidze	
аббат	abbot	
аббатиса	abbess	
аббатисса	abbess	
аббатский	abbatial	
аббатство	abbey	
аббация	abbazia	
аббревиатура	abbreviation	
аббревиатурный	abbreviation	
аббревиировать	abbreviate	
абвер	abwehr	
абдикация	abdication	
абдомен	abdomen	
абдоминалгия	abdominalgia	
абдоминальный	abdominal	
абдоминомедиастинальный	abdominomediastinal	
абдоминоперикардиостомия	abdominopericardiostomy	
абдоминопластика	abdominoplasty	
абдон	abdon	
абдразаков	abdrazakov	
абдуктант	abductor	
абдуктор	abductor	
абдулла	abdullah	
абелев	abelian	
абелит	abelite	
абель	abel	
абердинец	aberdonian	
аберрантный	aberrant	
аберрация	aberration	
аберрировать	aberrate	
аберрометр	aberrometer	
аберроскоп	abberoscope	
абессив	abessive	
абеталипопротеинемия	abetalipoproteinemia	
абецедарий	abecedarium	
абзац	paragraph	
абзим	abzyme	
абиджан	abidjan	
абиетин	abietene	
абико	abiko	
абилитация	habilitation	
абинск	abinsk	
абиогенный	abiogenetic	
абиотический	abiotic	
абиссаль	abyss	
абиссальный	abyssal	
абиссинец	abyssinian	
абиссиния	abyssinia	
абиссинка	abyssinian	
абиссинский	abyssinian	
абитиби	abitibi	
аблактировать	ablactate	
аблаут	ablaut	
аблация	ablation	
аблегат	ablegate	
аблефария	ablephary	
абляут	ablaut	
абляционный	ablation	
абляция	ablation	
або	abo	
абоимов	aboimov	
аболиционизм	abolitionism	
аболиционист	abolitionist	
аболиционистка	abolitionist	
абонемент	subscription	
абонементный	subscription	
абонент	subscriber	
абонентка	subscriber	
абонентский	subscription	
абонирование	subscribing	
абонировать	subscribe	
абонироваться	subscribe	
абонировка	subscribing	
аборальный	aboral	
абордаж	boarding	
абориген	native	
аборигенный	indigenous	
аборт	abortion	
абортивный	abortive	
абортированный	aborted	
абортировать	abort	
абортус	abortus	
абразив	abrasive	
абразивность	abrasiveness	
абразивный	abrasive	
абразия	abrasion	
абракадабра	abracadabra	
абрам	abram	
абраменко	abramenko	
абрамс	abrams	
абрамский	abramsky	
абрамцев	abramtsev	
абрахия	abrachia	
абреакция	abreaction	
абрек	abrek	
абриколь	bricole	
абрикос	apricot	
абрикосный	apricot	
абрикосов	abrikosov	
абрикосовый	apricot	
абрикотин	apricotine	
абрис	contour	
аброгация	abrogation	
абруптив	ejective	
абруццо	abruzzo	
абсейлинг	abseiling	
абсент	absinthe	
абсентеизм	absenteeism	
абсентеист	absentee	
абсентизм	absinthism	
абсида	apse	
абсолютизация	absolutization	
абсолютизировать	absolutise	
абсолютизм	absolutism	
абсолютист	absolutist	
абсолютистка	absolutist	
абсолютистский	absolutist	
абсолютно	absolutely	
абсолютность	absoluteness	
абсолютный	absolute	
абсорбат	absorbate	
абсорбент	absorbent	
абсорбер	absorber	
абсорбирование	absorption	
абсорбировать	absorb	
абсорбируемый	absorbable	
абсорбтивный	absorptive	
абсорбционный	absorption	
абсорбция	absorption	
